,RTT_average,queue_delay_average,end2end_average,Loss_average,send_rate_average,delivery_rate_average
0,27.771349385068422,0.0,27.771349385068422,0.0,65.58537493019227,65.32367399965356
1,27.79944770452192,0.0,27.79944770452192,0.0,63.16569548912669,62.91402312737314
2,59.91821247892074,0.0,59.91821247892074,0.0,23.178339109612143,23.37092116357504
3,88.71543985637344,0.0,88.71543985637344,0.016457211250748054,16.351043322561342,16.62726211849192
4,95.3581903276131,0.0,95.3581903276131,0.0,15.601718285179409,15.859151326053043
5,108.24126268320181,0.0,108.24126268320181,0.024426907177752723,13.145954886133032,13.52944006012777
6,110.34169517293805,0.0,110.34169517293805,0.02280501710376283,14.142052834663625,14.407430634739642
7,137.73267326732673,0.0,137.73267326732673,0.024752475247524754,12.044575623762377,12.525457920792078
8,152.3087621696801,0.0,152.3087621696801,0.0,10.83838632916087,11.453996291145108
9,162.72909698996656,0.0,162.72909698996656,0.02508361204013378,7.753783714604237,7.901304347826086
10,181.29778051787918,0.0,181.29778051787918,0.0,7.59325314919852,8.416559802712701
11,195.10536779324056,0.0,195.10536779324056,0.0,7.233316760768721,7.411769383697814
12,211.44388849177983,0.0,211.44388849177983,0.0,6.549459488205863,7.058577555396712
13,222.555900621118,0.0,222.555900621118,3.35430900621118,11.667775099378881,11.65248059006211
14,214.73424657534247,0.0,214.73424657534247,3.3344520547945202,8.65094757260274,8.573109589041094
15,218.9643076923077,0.0,218.9643076923077,4.489199999999999,7.428465368615385,7.728738461538462
